"","date","hits","keyword"
"1",2023-07-28,0,"Ortiz Alcalde"
"2",2023-07-29,0,"Ortiz Alcalde"
"3",2023-07-30,0,"Ortiz Alcalde"
"4",2023-07-31,0,"Ortiz Alcalde"
"5",2023-08-01,24,"Ortiz Alcalde"
"6",2023-08-02,26,"Ortiz Alcalde"
"7",2023-08-03,31,"Ortiz Alcalde"
"8",2023-08-04,0,"Ortiz Alcalde"
"9",2023-08-05,39,"Ortiz Alcalde"
"10",2023-08-06,0,"Ortiz Alcalde"
"11",2023-08-07,0,"Ortiz Alcalde"
"12",2023-08-08,0,"Ortiz Alcalde"
"13",2023-08-09,22,"Ortiz Alcalde"
"14",2023-08-10,0,"Ortiz Alcalde"
"15",2023-08-11,0,"Ortiz Alcalde"
"16",2023-08-12,0,"Ortiz Alcalde"
"17",2023-08-13,0,"Ortiz Alcalde"
"18",2023-08-14,29,"Ortiz Alcalde"
"19",2023-08-15,37,"Ortiz Alcalde"
"20",2023-08-16,24,"Ortiz Alcalde"
"21",2023-08-17,0,"Ortiz Alcalde"
"22",2023-08-18,0,"Ortiz Alcalde"
"23",2023-08-19,54,"Ortiz Alcalde"
"24",2023-08-20,0,"Ortiz Alcalde"
"25",2023-08-21,0,"Ortiz Alcalde"
"26",2023-08-22,0,"Ortiz Alcalde"
"27",2023-08-23,0,"Ortiz Alcalde"
"28",2023-08-24,0,"Ortiz Alcalde"
"29",2023-08-25,0,"Ortiz Alcalde"
"30",2023-08-26,0,"Ortiz Alcalde"
"31",2023-08-27,0,"Ortiz Alcalde"
"32",2023-08-28,0,"Ortiz Alcalde"
"33",2023-08-29,0,"Ortiz Alcalde"
"34",2023-08-30,0,"Ortiz Alcalde"
"35",2023-08-31,0,"Ortiz Alcalde"
"36",2023-09-01,0,"Ortiz Alcalde"
"37",2023-09-02,0,"Ortiz Alcalde"
"38",2023-09-03,0,"Ortiz Alcalde"
"39",2023-09-04,0,"Ortiz Alcalde"
"40",2023-09-05,0,"Ortiz Alcalde"
"41",2023-09-06,41,"Ortiz Alcalde"
"42",2023-09-07,0,"Ortiz Alcalde"
"43",2023-09-08,36,"Ortiz Alcalde"
"44",2023-09-09,0,"Ortiz Alcalde"
"45",2023-09-10,0,"Ortiz Alcalde"
"46",2023-09-11,0,"Ortiz Alcalde"
"47",2023-09-12,0,"Ortiz Alcalde"
"48",2023-09-13,48,"Ortiz Alcalde"
"49",2023-09-14,0,"Ortiz Alcalde"
"50",2023-09-15,0,"Ortiz Alcalde"
"51",2023-09-16,0,"Ortiz Alcalde"
"52",2023-09-17,0,"Ortiz Alcalde"
"53",2023-09-18,0,"Ortiz Alcalde"
"54",2023-09-19,0,"Ortiz Alcalde"
"55",2023-09-20,0,"Ortiz Alcalde"
"56",2023-09-21,27,"Ortiz Alcalde"
"57",2023-09-22,0,"Ortiz Alcalde"
"58",2023-09-23,0,"Ortiz Alcalde"
"59",2023-09-24,0,"Ortiz Alcalde"
"60",2023-09-25,0,"Ortiz Alcalde"
"61",2023-09-26,0,"Ortiz Alcalde"
"62",2023-09-27,0,"Ortiz Alcalde"
"63",2023-09-28,0,"Ortiz Alcalde"
"64",2023-09-29,36,"Ortiz Alcalde"
"65",2023-09-30,0,"Ortiz Alcalde"
"66",2023-10-01,0,"Ortiz Alcalde"
"67",2023-10-02,0,"Ortiz Alcalde"
"68",2023-10-03,0,"Ortiz Alcalde"
"69",2023-10-04,0,"Ortiz Alcalde"
"70",2023-10-05,0,"Ortiz Alcalde"
"71",2023-10-06,0,"Ortiz Alcalde"
"72",2023-10-07,0,"Ortiz Alcalde"
"73",2023-10-08,0,"Ortiz Alcalde"
"74",2023-10-09,0,"Ortiz Alcalde"
"75",2023-10-10,0,"Ortiz Alcalde"
"76",2023-10-11,0,"Ortiz Alcalde"
"77",2023-10-12,0,"Ortiz Alcalde"
"78",2023-10-13,0,"Ortiz Alcalde"
"79",2023-10-14,0,"Ortiz Alcalde"
"80",2023-10-15,0,"Ortiz Alcalde"
"81",2023-10-16,72,"Ortiz Alcalde"
"82",2023-10-17,29,"Ortiz Alcalde"
"83",2023-10-18,0,"Ortiz Alcalde"
"84",2023-10-19,0,"Ortiz Alcalde"
"85",2023-10-20,44,"Ortiz Alcalde"
"86",2023-10-21,0,"Ortiz Alcalde"
"87",2023-10-22,0,"Ortiz Alcalde"
"88",2023-10-23,0,"Ortiz Alcalde"
"89",2023-10-24,0,"Ortiz Alcalde"
"90",2023-07-28,35,"Eder Alcalde"
"91",2023-07-29,27,"Eder Alcalde"
"92",2023-07-30,0,"Eder Alcalde"
"93",2023-07-31,24,"Eder Alcalde"
"94",2023-08-01,0,"Eder Alcalde"
"95",2023-08-02,18,"Eder Alcalde"
"96",2023-08-03,30,"Eder Alcalde"
"97",2023-08-04,0,"Eder Alcalde"
"98",2023-08-05,0,"Eder Alcalde"
"99",2023-08-06,0,"Eder Alcalde"
"100",2023-08-07,44,"Eder Alcalde"
"101",2023-08-08,0,"Eder Alcalde"
"102",2023-08-09,25,"Eder Alcalde"
"103",2023-08-10,0,"Eder Alcalde"
"104",2023-08-11,40,"Eder Alcalde"
"105",2023-08-12,0,"Eder Alcalde"
"106",2023-08-13,0,"Eder Alcalde"
"107",2023-08-14,51,"Eder Alcalde"
"108",2023-08-15,0,"Eder Alcalde"
"109",2023-08-16,0,"Eder Alcalde"
"110",2023-08-17,28,"Eder Alcalde"
"111",2023-08-18,0,"Eder Alcalde"
"112",2023-08-19,0,"Eder Alcalde"
"113",2023-08-20,0,"Eder Alcalde"
"114",2023-08-21,0,"Eder Alcalde"
"115",2023-08-22,0,"Eder Alcalde"
"116",2023-08-23,48,"Eder Alcalde"
"117",2023-08-24,0,"Eder Alcalde"
"118",2023-08-25,0,"Eder Alcalde"
"119",2023-08-26,0,"Eder Alcalde"
"120",2023-08-27,0,"Eder Alcalde"
"121",2023-08-28,0,"Eder Alcalde"
"122",2023-08-29,0,"Eder Alcalde"
"123",2023-08-30,0,"Eder Alcalde"
"124",2023-08-31,100,"Eder Alcalde"
"125",2023-09-01,32,"Eder Alcalde"
"126",2023-09-02,31,"Eder Alcalde"
"127",2023-09-03,0,"Eder Alcalde"
"128",2023-09-04,23,"Eder Alcalde"
"129",2023-09-05,0,"Eder Alcalde"
"130",2023-09-06,0,"Eder Alcalde"
"131",2023-09-07,0,"Eder Alcalde"
"132",2023-09-08,0,"Eder Alcalde"
"133",2023-09-09,58,"Eder Alcalde"
"134",2023-09-10,0,"Eder Alcalde"
"135",2023-09-11,0,"Eder Alcalde"
"136",2023-09-12,29,"Eder Alcalde"
"137",2023-09-13,21,"Eder Alcalde"
"138",2023-09-14,18,"Eder Alcalde"
"139",2023-09-15,21,"Eder Alcalde"
"140",2023-09-16,0,"Eder Alcalde"
"141",2023-09-17,0,"Eder Alcalde"
"142",2023-09-18,0,"Eder Alcalde"
"143",2023-09-19,0,"Eder Alcalde"
"144",2023-09-20,0,"Eder Alcalde"
"145",2023-09-21,0,"Eder Alcalde"
"146",2023-09-22,0,"Eder Alcalde"
"147",2023-09-23,36,"Eder Alcalde"
"148",2023-09-24,0,"Eder Alcalde"
"149",2023-09-25,0,"Eder Alcalde"
"150",2023-09-26,0,"Eder Alcalde"
"151",2023-09-27,0,"Eder Alcalde"
"152",2023-09-28,0,"Eder Alcalde"
"153",2023-09-29,0,"Eder Alcalde"
"154",2023-09-30,0,"Eder Alcalde"
